match_id,division,match_date,section,team,player,goals,goal_minutes,source_url,note
2026_D1_m01,1部,2026-04-05,第1節,三菱重工浦和レッズレディースジュニアユース,大隈 亜子,2,23分|29分,https://u15.kantolsl.com/2026/div1/m01,
2026_D1_m01,1部,2026-04-05,第1節,湘南ベルマーレU-15ガールズ,高橋 杏莉,1,66分,https://u15.kantolsl.com/2026/div1/m01,
2026_D1_m02,1部,2026-04-05,第1節,ジェフユナイテッド市原・千葉レディースU-15,伊東 空,2,22分|60分,https://u15.kantolsl.com/2026/div1/m02,
2026_D1_m02,1部,2026-04-05,第1節,ジェフユナイテッド市原・千葉レディースU-15,越川 日葉莉,1,57分,https://u15.kantolsl.com/2026/div1/m02,
2026_D1_m02,1部,2026-04-05,第1節,ジェフユナイテッド市原・千葉レディースU-15,山下 明日未,1,78分,https://u15.kantolsl.com/2026/div1/m02,
2026_D1_m03,1部,2026-04-05,第1節,ノジマステラ神奈川相模原アヴェニーレ,鈴木 美尋,2,28分|75分,https://u15.kantolsl.com/2026/div1/m03,
2026_D1_m03,1部,2026-04-05,第1節,ノジマステラ神奈川相模原アヴェニーレ,中田 優沙,1,24分,https://u15.kantolsl.com/2026/div1/m03,
2026_D1_m03,1部,2026-04-05,第1節,ノジマステラ神奈川相模原アヴェニーレ,福永 桔子,1,41分,https://u15.kantolsl.com/2026/div1/m03,
2026_D1_m03,1部,2026-04-05,第1節,INAC白岡SCレディース,肥田 梨咲子,1,38分,https://u15.kantolsl.com/2026/div1/m03,
2026_D1_m04,1部,2026-04-05,第1節,横須賀シーガルズMEG,阿部 妃栞,2,11分|32分,https://u15.kantolsl.com/2026/div1/m04,
2026_D1_m04,1部,2026-04-05,第1節,横須賀シーガルズMEG,赤瀬 紗来,2,50分|53分,https://u15.kantolsl.com/2026/div1/m04,
2026_D1_m04,1部,2026-04-05,第1節,横須賀シーガルズMEG,小野寺 真帆,1,79分,https://u15.kantolsl.com/2026/div1/m04,
2026_D1_m04,1部,2026-04-05,第1節,横須賀シーガルズMEG,大宮 夢,1,80+2分,https://u15.kantolsl.com/2026/div1/m04,
2026_D1_m04,1部,2026-04-05,第1節,VONDS市原FCレディ－スU-15,長山 あいら,1,52分,https://u15.kantolsl.com/2026/div1/m04,
2026_D1_m05,1部,2026-04-11,第2節,小美玉フットボールアカデミー,高柳 凛歩,1,73分,https://u15.kantolsl.com/2026/div1/m05,team_heading_not_in_match:小美玉フットボールアカデミー
2026_D1_m05,1部,2026-04-11,第2節,三菱重工浦和レッズレディースジュニアユース,小林 花音,1,36分,https://u15.kantolsl.com/2026/div1/m05,
2026_D1_m06,1部,2026-04-12,第2節,湘南ベルマーレU-15ガールズ,中邨 日向,1,80+1分,https://u15.kantolsl.com/2026/div1/m06,
2026_D1_m06,1部,2026-04-12,第2節,ジェフユナイテッド市原・千葉レディースU-15,伊東 空,3,18分|42分|45分,https://u15.kantolsl.com/2026/div1/m06,
2026_D1_m06,1部,2026-04-12,第2節,ジェフユナイテッド市原・千葉レディースU-15,平野 笑帆,1,27分,https://u15.kantolsl.com/2026/div1/m06,
2026_D1_m07,1部,2026-04-11,第2節,VONDS市原FCレディ－スU-15,氏家 心絆,1,59分,https://u15.kantolsl.com/2026/div1/m07,
2026_D1_m07,1部,2026-04-11,第2節,ノジマステラ神奈川相模原アヴェニーレ,福永 桔子,1,13分,https://u15.kantolsl.com/2026/div1/m07,
2026_D1_m07,1部,2026-04-11,第2節,ノジマステラ神奈川相模原アヴェニーレ,信川 結菜,1,33分,https://u15.kantolsl.com/2026/div1/m07,
2026_D1_m07,1部,2026-04-11,第2節,ノジマステラ神奈川相模原アヴェニーレ,松川 明愛,1,42分,https://u15.kantolsl.com/2026/div1/m07,
2026_D1_m08,1部,2026-04-11,第2節,INAC白岡SCレディース,金子 歩未,1,8分,https://u15.kantolsl.com/2026/div1/m08,
2026_D1_m08,1部,2026-04-11,第2節,INAC白岡SCレディース,藤本 優里,1,35分,https://u15.kantolsl.com/2026/div1/m08,
2026_D1_m08,1部,2026-04-11,第2節,INAC白岡SCレディース,江川 千聖,1,62分,https://u15.kantolsl.com/2026/div1/m08,
2026_D1_m08,1部,2026-04-11,第2節,横須賀シーガルズMEG,中島 叶夢,1,66分,https://u15.kantolsl.com/2026/div1/m08,
2026_D1_m09,1部,2026-04-18,第3節,三菱重工浦和レッズレディースジュニアユース,平出 皐,3,12分|33分|42分,https://u15.kantolsl.com/2026/div1/m09,
2026_D1_m09,1部,2026-04-18,第3節,三菱重工浦和レッズレディースジュニアユース,河合 萌花,1,2分,https://u15.kantolsl.com/2026/div1/m09,
2026_D1_m09,1部,2026-04-18,第3節,三菱重工浦和レッズレディースジュニアユース,森井 咲,1,54分,https://u15.kantolsl.com/2026/div1/m09,
2026_D1_m09,1部,2026-04-18,第3節,INAC白岡SCレディース,藤本 優里,1,45分,https://u15.kantolsl.com/2026/div1/m09,
2026_D1_m10,1部,2026-04-19,第3節,ジェフユナイテッド市原・千葉レディースU-15,小田 葵音,3,10分|15分|52分,https://u15.kantolsl.com/2026/div1/m10,
2026_D1_m10,1部,2026-04-19,第3節,ジェフユナイテッド市原・千葉レディースU-15,平野 笑帆,2,30分|39分,https://u15.kantolsl.com/2026/div1/m10,
2026_D1_m10,1部,2026-04-19,第3節,ジェフユナイテッド市原・千葉レディースU-15,西澤 琉愛,2,51分|61分,https://u15.kantolsl.com/2026/div1/m10,
2026_D1_m10,1部,2026-04-19,第3節,ジェフユナイテッド市原・千葉レディースU-15,吉岡 奏碧,1,48分,https://u15.kantolsl.com/2026/div1/m10,
2026_D1_m10,1部,2026-04-19,第3節,ジェフユナイテッド市原・千葉レディースU-15,山下 明日未,1,70分,https://u15.kantolsl.com/2026/div1/m10,
2026_D1_m10,1部,2026-04-19,第3節,VONDS市原FCレディ－スU-15,柴田 麗衣,1,20分,https://u15.kantolsl.com/2026/div1/m10,
