rank,player,team,division,goals,match_count,note
1,松田千紗,スフィーダ世田谷FCユース,ALL,17,8,team_heading_not_in_match:スフィーダ世田谷FCユース
2,徳生花音,三菱重工浦和レッズレディースジュニアユース,ALL,14,10,
3,新田千穂,湘南ベルマーレU-15ガールズ,ALL,13,8,
4,牧野菜々,INAC千葉CRAVO FC,ALL,12,8,
5,武井ふうこ,INAC千葉CRAVO FC,ALL,11,6,
6,真田小町,スフィーダ世田谷FCユース,ALL,10,5,team_heading_not_in_match:スフィーダ世田谷FCユース
7,田中葉色,VONDS市原FCレディ－スU-15,ALL,9,6,
7,茂木陽菜,スフィーダ世田谷FCユース,ALL,9,3,team_heading_not_in_match:スフィーダ世田谷FCユース
7,丹野柚,栃木SCレディース,ALL,9,6,score_mismatch:expected=13:actual=12
10,山田笑子,INAC千葉CRAVO FC,ALL,8,1,
10,阿久津三希,INAC千葉CRAVO FC,ALL,8,4,
10,吉川葵,ジェフユナイテッド市原・千葉レディースU-15,ALL,8,5,
10,村田紗菜,スフィーダ世田谷FCユース,ALL,8,7,team_heading_not_in_match:スフィーダ世田谷FCユース
14,曽雌心美,十文字中学校,ALL,7,5,
14,関根舞彩,大宮アルディージャVENTUS U15,ALL,7,4,team_heading_not_in_match:大宮アルディージャVENTUS U15
14,小島瑚菜,湘南ベルマーレU-15ガールズ,ALL,7,2,
14,菊地沙愛,湘南ベルマーレU-15ガールズ,ALL,7,4,
18,中島萌花,INAC千葉CRAVO FC,ALL,6,3,
18,浅野心都,INAC千葉CRAVO FC,ALL,6,4,
18,茂木暖,ザスパ群馬レディースU-15,ALL,6,4,
18,横田理桜,十文字中学校,ALL,6,3,
18,奥田利咲,大宮アルディージャVENTUS U15,ALL,6,5,team_heading_not_in_match:大宮アルディージャVENTUS U15
18,吉井真夏,湘南ベルマーレU-15ガールズ,ALL,6,4,
18,岩井翠星,湘南ベルマーレU-15ガールズ,ALL,6,4,
18,矢内智華,湘南ベルマーレU-15ガールズ,ALL,6,3,
18,菊地菜々美,湘南ベルマーレU-15ガールズ,ALL,6,3,
27,新居蒼生,INAC千葉CRAVO FC,ALL,5,1,
27,小倉那月,INAC白岡SCレディース,ALL,5,4,
27,中村美優,ジェフユナイテッド市原・千葉レディースU-15,ALL,5,3,
27,片岡菜葉,三菱重工浦和レッズレディースジュニアユース,ALL,5,5,
27,清水うらら,十文字中学校,ALL,5,5,
27,林加笑,栃木SCレディース,ALL,5,3,
27,檜山未知琉,栃木SCレディース,ALL,5,3,score_mismatch:expected=13:actual=12
27,柴田結月,横須賀シーガルズMEG,ALL,5,4,
35,保坂美海,VONDS市原FCレディ－スU-15,ALL,4,3,
35,長谷莉衣菜,VONDS市原FCレディ－スU-15,ALL,4,4,
35,野口みどり,ノジマステラ神奈川相模原アヴェニーレ,ALL,4,3,team_heading_not_in_match:ノジマステラ神奈川相模原アヴェニーレ
35,増田彩衣里,三菱重工浦和レッズレディースジュニアユース,ALL,4,4,
35,浅野伶央,三菱重工浦和レッズレディースジュニアユース,ALL,4,4,
35,武井桃香,十文字中学校,ALL,4,2,
35,鬼久保遥花,十文字中学校,ALL,4,3,
35,加藤咲那,大宮アルディージャVENTUS U15,ALL,4,2,team_heading_not_in_match:大宮アルディージャVENTUS U15
35,比留間きり,大宮アルディージャVENTUS U15,ALL,4,4,team_heading_not_in_match:大宮アルディージャVENTUS U15
35,奈良凪紗,栃木SCレディース,ALL,4,3,
35,渡邉凜,栃木SCレディース,ALL,4,3,
35,佐藤楓,湘南ベルマーレU-15ガールズ,ALL,4,3,
47,林侑花,INAC千葉CRAVO FC,ALL,3,3,
47,清水若葉,INAC白岡SCレディース,ALL,3,2,
47,柴田麗衣,VONDS市原FCレディ－スU-15,ALL,3,3,
47,小澤璃子,スフィーダ世田谷FCユース,ALL,3,2,team_heading_not_in_match:スフィーダ世田谷FCユース
47,田島帆夏,スフィーダ世田谷FCユース,ALL,3,2,team_heading_not_in_match:スフィーダ世田谷FCユース
47,平山樹歩,ノジマステラ神奈川相模原アヴェニーレ,ALL,3,3,team_heading_not_in_match:ノジマステラ神奈川相模原アヴェニーレ
47,藺牟田芽依,ノジマステラ神奈川相模原アヴェニーレ,ALL,3,3,
47,仙石みのり,三菱重工浦和レッズレディースジュニアユース,ALL,3,3,
47,諏訪楓,三菱重工浦和レッズレディースジュニアユース,ALL,3,2,
47,内川なお,十文字中学校,ALL,3,3,
47,尾﨑あかね,十文字中学校,ALL,3,1,
47,小口彩理,大宮アルディージャVENTUS U15,ALL,3,3,team_heading_not_in_match:大宮アルディージャVENTUS U15
47,近藤芽衣,大宮アルディージャVENTUS U15,ALL,3,3,team_heading_not_in_match:大宮アルディージャVENTUS U15
47,山本渚子,小美玉フットボールアカデミー,ALL,3,3,team_heading_not_in_match:小美玉フットボールアカデミー
47,飯塚紗永,湘南ベルマーレU-15ガールズ,ALL,3,2,
62,笹ノ間奈央,INAC千葉CRAVO FC,ALL,2,2,
62,花村莉子,INAC千葉CRAVO FC,ALL,2,2,
62,齊藤楓花,INAC千葉CRAVO FC,ALL,2,2,
62,川田月葉,TRAUM SVレディースU-15,ALL,2,2,
62,舘崎舞彩子,TRAUM SVレディースU-15,ALL,2,2,
62,西脇姫花,ちふれASエルフェン埼玉マリU-15,ALL,2,2,
62,品川結衣,ザスパ群馬レディースU-15,ALL,2,1,
62,土屋琉花,ザスパ群馬レディースU-15,ALL,2,2,
62,土屋華歩,ザスパ群馬レディースU-15,ALL,2,1,
62,平野笑帆,ジェフユナイテッド市原・千葉レディースU-15,ALL,2,2,
62,滝澤優奈,スフィーダ世田谷FCユース,ALL,2,2,
62,田村明希,スフィーダ世田谷FCユース,ALL,2,2,team_heading_not_in_match:スフィーダ世田谷FCユース
62,甲斐佳音,スフィーダ世田谷FCユース,ALL,2,2,team_heading_not_in_match:スフィーダ世田谷FCユース
62,鈴木優心,スフィーダ世田谷FCユース,ALL,2,1,team_heading_not_in_match:スフィーダ世田谷FCユース
62,綿引夏希,ノジマステラ神奈川相模原アヴェニーレ,ALL,2,2,
62,薬袋胡乃花,三菱重工浦和レッズレディースジュニアユース,ALL,2,2,
62,小川梨心,十文字中学校,ALL,2,2,
62,松原璃々,十文字中学校,ALL,2,2,
62,遊佐葉月,十文字中学校,ALL,2,2,
62,奥墨結花,大宮アルディージャVENTUS U15,ALL,2,2,team_heading_not_in_match:大宮アルディージャVENTUS U15
62,岩崎かえら,大宮アルディージャVENTUS U15,ALL,2,2,
62,平井香凜,大宮アルディージャVENTUS U15,ALL,2,1,
62,林果奈実,大宮アルディージャVENTUS U15,ALL,2,2,
62,寺門絢音,小美玉フットボールアカデミー,ALL,2,2,team_heading_not_in_match:小美玉フットボールアカデミー
62,小橋由菜,小美玉フットボールアカデミー,ALL,2,1,team_heading_not_in_match:小美玉フットボールアカデミー
62,服部由華,小美玉フットボールアカデミー,ALL,2,2,team_heading_not_in_match:小美玉フットボールアカデミー
62,坂上愛姫,栃木SCレディース,ALL,2,1,score_mismatch:expected=13:actual=12
62,富澤結夢,栃木SCレディース,ALL,2,2,
62,小森陽咲,栃木SCレディース,ALL,2,1,score_mismatch:expected=13:actual=12
62,森田梨愛,栃木SCレディース,ALL,2,2,
62,吉﨑小梅,横須賀シーガルズMEG,ALL,2,2,
62,斎藤希子,横須賀シーガルズMEG,ALL,2,2,
62,オウンゴール,湘南ベルマーレU-15ガールズ,ALL,2,2,
62,山田七海,湘南ベルマーレU-15ガールズ,ALL,2,2,
62,竹澤瑚夏,湘南ベルマーレU-15ガールズ,ALL,2,2,team_heading_not_in_match:湘南ベルマーレU-15ガールズ
62,高橋杏莉,湘南ベルマーレU-15ガールズ,ALL,2,1,
98,大岩音波,INAC千葉CRAVO FC,ALL,1,1,
98,鈴木唯寛,INAC千葉CRAVO FC,ALL,1,1,
98,飯岡真生,INAC千葉CRAVO FC,ALL,1,1,
98,髙橋茉愛,INAC千葉CRAVO FC,ALL,1,1,
98,佐野希空,INAC白岡SCレディース,ALL,1,1,
98,山崎向日葵,INAC白岡SCレディース,ALL,1,1,
98,杉原芽依,INAC白岡SCレディース,ALL,1,1,
98,村部彩華,INAC白岡SCレディース,ALL,1,1,
98,沓掛加奈,INAC白岡SCレディース,ALL,1,1,
98,津久井小花,INAC白岡SCレディース,ALL,1,1,
98,菊地悠衣,INAC白岡SCレディース,ALL,1,1,
98,野村詩,INAC白岡SCレディース,ALL,1,1,team_heading_not_in_match:INAC白岡SCレディース
98,中嶋鈴,VONDS市原FCレディ－スU-15,ALL,1,1,
98,北島利夏,VONDS市原FCレディ－スU-15,ALL,1,1,
98,長田陽菜,VONDS市原FCレディ－スU-15,ALL,1,1,
98,原島蒼依,ちふれASエルフェン埼玉マリU-15,ALL,1,1,
98,松本芽生,ちふれASエルフェン埼玉マリU-15,ALL,1,1,
98,栢森咲夏,ちふれASエルフェン埼玉マリU-15,ALL,1,1,
98,田中深都,ちふれASエルフェン埼玉マリU-15,ALL,1,1,
98,鈴木和心,ちふれASエルフェン埼玉マリU-15,ALL,1,1,
98,倉田香々彩,ザスパ群馬レディースU-15,ALL,1,1,
98,小島ひなた,ザスパ群馬レディースU-15,ALL,1,1,
98,林碧瀬,ザスパ群馬レディースU-15,ALL,1,1,
98,石川りん花,ザスパ群馬レディースU-15,ALL,1,1,
98,オウンゴール,ジェフユナイテッド市原・千葉レディースU-15,ALL,1,1,
98,上見遥香,ジェフユナイテッド市原・千葉レディースU-15,ALL,1,1,
98,伊東空,ジェフユナイテッド市原・千葉レディースU-15,ALL,1,1,
98,吉岡奏碧,ジェフユナイテッド市原・千葉レディースU-15,ALL,1,1,
98,小峯虹,ジェフユナイテッド市原・千葉レディースU-15,ALL,1,1,
98,岡﨑かえで,ジェフユナイテッド市原・千葉レディースU-15,ALL,1,1,
98,岸本恵凛,ジェフユナイテッド市原・千葉レディースU-15,ALL,1,1,
98,江藤はな,ジェフユナイテッド市原・千葉レディースU-15,ALL,1,1,
98,鈴木沙弥,ジェフユナイテッド市原・千葉レディースU-15,ALL,1,1,
98,オウンゴール,スフィーダ世田谷FCユース,ALL,1,1,
98,中澤柚寿,スフィーダ世田谷FCユース,ALL,1,1,team_heading_not_in_match:スフィーダ世田谷FCユース
98,加瀨楓,スフィーダ世田谷FCユース,ALL,1,1,team_heading_not_in_match:スフィーダ世田谷FCユース
98,箕輪ひさの,スフィーダ世田谷FCユース,ALL,1,1,team_heading_not_in_match:スフィーダ世田谷FCユース
98,角鹿妃南,スフィーダ世田谷FCユース,ALL,1,1,team_heading_not_in_match:スフィーダ世田谷FCユース
98,関まはる,スフィーダ世田谷FCユース,ALL,1,1,team_heading_not_in_match:スフィーダ世田谷FCユース
98,齊藤礼,スフィーダ世田谷FCユース,ALL,1,1,
98,中田優沙,ノジマステラ神奈川相模原アヴェニーレ,ALL,1,1,
98,佐藤桜咲,ノジマステラ神奈川相模原アヴェニーレ,ALL,1,1,
98,信川結菜,ノジマステラ神奈川相模原アヴェニーレ,ALL,1,1,
98,松川明愛,ノジマステラ神奈川相模原アヴェニーレ,ALL,1,1,
98,比嘉まき,ノジマステラ神奈川相模原アヴェニーレ,ALL,1,1,
98,福永桔子,ノジマステラ神奈川相模原アヴェニーレ,ALL,1,1,team_heading_not_in_match:ノジマステラ神奈川相模原アヴェニーレ
98,荒井庵,ノジマステラ神奈川相模原アヴェニーレ,ALL,1,1,
98,オウンゴール,三菱重工浦和レッズレディースジュニアユース,ALL,1,1,
98,平出皐,三菱重工浦和レッズレディースジュニアユース,ALL,1,1,
98,由利桃子,三菱重工浦和レッズレディースジュニアユース,ALL,1,1,
98,オウンゴール,十文字中学校,ALL,1,1,
98,吉江美水帆,十文字中学校,ALL,1,1,
98,吉浦希,十文字中学校,ALL,1,1,
98,掛川蘭,十文字中学校,ALL,1,1,
98,森田湖朱,十文字中学校,ALL,1,1,
98,箱崎莉乃,十文字中学校,ALL,1,1,
98,中村詩,大宮アルディージャVENTUS U15,ALL,1,1,
98,大山心路,大宮アルディージャVENTUS U15,ALL,1,1,team_heading_not_in_match:大宮アルディージャVENTUS U15
98,大木優里葉,大宮アルディージャVENTUS U15,ALL,1,1,team_heading_not_in_match:大宮アルディージャVENTUS U15
98,峰岸果海,大宮アルディージャVENTUS U15,ALL,1,1,team_heading_not_in_match:大宮アルディージャVENTUS U15
98,平井香凛,大宮アルディージャVENTUS U15,ALL,1,1,team_heading_not_in_match:大宮アルディージャVENTUS U15
98,村上菜葉,大宮アルディージャVENTUS U15,ALL,1,1,
98,石牟礼咲希,大宮アルディージャVENTUS U15,ALL,1,1,team_heading_not_in_match:大宮アルディージャVENTUS U15
98,奥村心奏,小美玉フットボールアカデミー,ALL,1,1,team_heading_not_in_match:小美玉フットボールアカデミー
98,水越苺奈,小美玉フットボールアカデミー,ALL,1,1,team_heading_not_in_match:小美玉フットボールアカデミー
98,飯村叶愛,小美玉フットボールアカデミー,ALL,1,1,team_heading_not_in_match:小美玉フットボールアカデミー
98,オウンゴール,栃木SCレディース,ALL,1,1,score_mismatch:expected=13:actual=12
98,吉成礼,栃木SCレディース,ALL,1,1,
98,大久保藍奈,栃木SCレディース,ALL,1,1,
98,松尾咲良,栃木SCレディース,ALL,1,1,score_mismatch:expected=13:actual=12
98,渡邉凛,栃木SCレディース,ALL,1,1,score_mismatch:expected=13:actual=12
98,鈴木心絆,栃木SCレディース,ALL,1,1,
98,オウンゴール,横須賀シーガルズMEG,ALL,1,1,
98,丸林日和,横須賀シーガルズMEG,ALL,1,1,
98,山本美雨,横須賀シーガルズMEG,ALL,1,1,
98,澁谷紗菜美,横須賀シーガルズMEG,ALL,1,1,
98,窪田心優,横須賀シーガルズMEG,ALL,1,1,
98,長谷川紗良,横須賀シーガルズMEG,ALL,1,1,
98,阿部妃栞,横須賀シーガルズMEG,ALL,1,1,
98,中邨日向,湘南ベルマーレU-15ガールズ,ALL,1,1,
98,杉崎汐里,湘南ベルマーレU-15ガールズ,ALL,1,1,
98,薮下遥,湘南ベルマーレU-15ガールズ,ALL,1,1,
