rank,player,team,division,goals,match_count,note
1,徳生花音,三菱重工浦和レッズレディースジュニアユース,1部,14,10,
2,田中葉色,VONDS市原FCレディ－スU-15,1部,9,6,
3,吉川葵,ジェフユナイテッド市原・千葉レディースU-15,1部,8,5,
4,小倉那月,INAC白岡SCレディース,1部,5,4,
4,中村美優,ジェフユナイテッド市原・千葉レディースU-15,1部,5,3,
4,片岡菜葉,三菱重工浦和レッズレディースジュニアユース,1部,5,5,
4,柴田結月,横須賀シーガルズMEG,1部,5,4,
8,保坂美海,VONDS市原FCレディ－スU-15,1部,4,3,
8,長谷莉衣菜,VONDS市原FCレディ－スU-15,1部,4,4,
8,野口みどり,ノジマステラ神奈川相模原アヴェニーレ,1部,4,3,team_heading_not_in_match:ノジマステラ神奈川相模原アヴェニーレ
8,増田彩衣里,三菱重工浦和レッズレディースジュニアユース,1部,4,4,
8,浅野伶央,三菱重工浦和レッズレディースジュニアユース,1部,4,4,
13,清水若葉,INAC白岡SCレディース,1部,3,2,
13,柴田麗衣,VONDS市原FCレディ－スU-15,1部,3,3,
13,平山樹歩,ノジマステラ神奈川相模原アヴェニーレ,1部,3,3,team_heading_not_in_match:ノジマステラ神奈川相模原アヴェニーレ
13,藺牟田芽依,ノジマステラ神奈川相模原アヴェニーレ,1部,3,3,
13,仙石みのり,三菱重工浦和レッズレディースジュニアユース,1部,3,3,
13,諏訪楓,三菱重工浦和レッズレディースジュニアユース,1部,3,2,
13,山本渚子,小美玉フットボールアカデミー,1部,3,3,team_heading_not_in_match:小美玉フットボールアカデミー
20,西脇姫花,ちふれASエルフェン埼玉マリU-15,1部,2,2,
20,平野笑帆,ジェフユナイテッド市原・千葉レディースU-15,1部,2,2,
20,綿引夏希,ノジマステラ神奈川相模原アヴェニーレ,1部,2,2,
20,薬袋胡乃花,三菱重工浦和レッズレディースジュニアユース,1部,2,2,
20,寺門絢音,小美玉フットボールアカデミー,1部,2,2,team_heading_not_in_match:小美玉フットボールアカデミー
20,小橋由菜,小美玉フットボールアカデミー,1部,2,1,team_heading_not_in_match:小美玉フットボールアカデミー
20,服部由華,小美玉フットボールアカデミー,1部,2,2,team_heading_not_in_match:小美玉フットボールアカデミー
20,吉﨑小梅,横須賀シーガルズMEG,1部,2,2,
20,斎藤希子,横須賀シーガルズMEG,1部,2,2,
29,佐野希空,INAC白岡SCレディース,1部,1,1,
29,山崎向日葵,INAC白岡SCレディース,1部,1,1,
29,杉原芽依,INAC白岡SCレディース,1部,1,1,
29,村部彩華,INAC白岡SCレディース,1部,1,1,
29,沓掛加奈,INAC白岡SCレディース,1部,1,1,
29,津久井小花,INAC白岡SCレディース,1部,1,1,
29,菊地悠衣,INAC白岡SCレディース,1部,1,1,
29,野村詩,INAC白岡SCレディース,1部,1,1,team_heading_not_in_match:INAC白岡SCレディース
29,中嶋鈴,VONDS市原FCレディ－スU-15,1部,1,1,
29,北島利夏,VONDS市原FCレディ－スU-15,1部,1,1,
29,長田陽菜,VONDS市原FCレディ－スU-15,1部,1,1,
29,原島蒼依,ちふれASエルフェン埼玉マリU-15,1部,1,1,
29,松本芽生,ちふれASエルフェン埼玉マリU-15,1部,1,1,
29,栢森咲夏,ちふれASエルフェン埼玉マリU-15,1部,1,1,
29,田中深都,ちふれASエルフェン埼玉マリU-15,1部,1,1,
29,鈴木和心,ちふれASエルフェン埼玉マリU-15,1部,1,1,
29,オウンゴール,ジェフユナイテッド市原・千葉レディースU-15,1部,1,1,
29,上見遥香,ジェフユナイテッド市原・千葉レディースU-15,1部,1,1,
29,伊東空,ジェフユナイテッド市原・千葉レディースU-15,1部,1,1,
29,吉岡奏碧,ジェフユナイテッド市原・千葉レディースU-15,1部,1,1,
29,小峯虹,ジェフユナイテッド市原・千葉レディースU-15,1部,1,1,
29,岡﨑かえで,ジェフユナイテッド市原・千葉レディースU-15,1部,1,1,
