year,division,match_id,url_key,source_url,match_date,kickoff,section,home_team,away_team,home_score,away_score,venue,status,fetched_at,source_type,discovered_from,note
2025,1部,2025_D1_m01,m01,https://u15.kantolsl.com/2025/div1/m01,2025-04-06,14:00,第1節,ジェフユナイテッド市原・千葉レディースU-15,横須賀シーガルズMEG,2,2,八幡公園球技場,played,2026-05-18T09:17:08+09:00,primary_match_page,https://u15.kantolsl.com/2025/div1/,
2025,1部,2025_D1_m02,m02,https://u15.kantolsl.com/2025/div1/m02,2025-04-06,16:00,第1節,三菱重工浦和レッズレディースジュニアユース,VONDS市原FCレディ－スU-15,2,1,レッズランド,played,2026-05-18T09:17:08+09:00,primary_match_page,https://u15.kantolsl.com/2025/div1/,
2025,1部,2025_D1_m03,m03,https://u15.kantolsl.com/2025/div1/m03,2025-04-06,15:30,第1節,ちふれASエルフェン埼玉マリU-15,小美玉フットボールアカデミ,0,0,ちふれ飯能グラウンド,played,2026-05-18T09:17:09+09:00,primary_match_page,https://u15.kantolsl.com/2025/div1/,
2025,1部,2025_D1_m04,m04,https://u15.kantolsl.com/2025/div1/m04,2025-04-06,17:15,第1節,INAC白岡SCレディース,ノジマステラ神奈川相模原アヴェニーレ,0,3,SFAフットボールセンタ,played,2026-05-18T09:17:10+09:00,primary_match_page,https://u15.kantolsl.com/2025/div1/,
2025,1部,2025_D1_m05,m05,https://u15.kantolsl.com/2025/div1/m05,2025-04-12,17:30,第2節,VONDS市原FCレディ－スU-15,ジェフユナイテッド市原・千葉レディースU-15,4,1,VONDSグリーンパーク,played,2026-05-18T09:17:10+09:00,primary_match_page,https://u15.kantolsl.com/2025/div1/,
2025,1部,2025_D1_m06,m06,https://u15.kantolsl.com/2025/div1/m06,2025-04-13,13:30,第2節,横須賀シーガルズMEG,三菱重工浦和レッズレディースジュニアユース,0,4,佐島なぎさの丘グラウンド,played,2026-05-18T09:17:11+09:00,primary_match_page,https://u15.kantolsl.com/2025/div1/,
2025,1部,2025_D1_m07,m07,https://u15.kantolsl.com/2025/div1/m07,2025-04-13,13:55,第2節,前半: 2- ノジマステラ神奈川相模原アヴェニーレ,ちふれASエルフェン埼玉マリU-15,4,0,ノジマフットボールパーク,played,2026-05-18T09:17:11+09:00,primary_match_page,https://u15.kantolsl.com/2025/div1/,
2025,1部,2025_D1_m08,m08,https://u15.kantolsl.com/2025/div1/m08,2025-04-12,14:00,第2節,小美玉フットボールアカデミ,INAC白岡SCレディース,2,0,タスパジャパンミート パーク,played,2026-05-18T09:17:12+09:00,primary_match_page,https://u15.kantolsl.com/2025/div1/,
2025,1部,2025_D1_m09,m09,https://u15.kantolsl.com/2025/div1/m09,2025-04-19,14:00,第3節,ジェフユナイテッド市原・千葉レディースU-15,小美玉フットボールアカデミ,3,1,フクダ電子フィールド,played,2026-05-18T09:17:12+09:00,primary_match_page,https://u15.kantolsl.com/2025/div1/,
2025,1部,2025_D1_m10,m10,https://u15.kantolsl.com/2025/div1/m10,2025-04-19,16:00,第3節,三菱重工浦和レッズレディースジュニアユース,ノジマステラ神奈川相模原アヴェニーレ,1,0,レッズランド,played,2026-05-18T09:17:13+09:00,primary_match_page,https://u15.kantolsl.com/2025/div1/,
2025,1部,2025_D1_m11,m11,https://u15.kantolsl.com/2025/div1/m11,2025-04-20,16:00,第3節,ちふれASエルフェン埼玉マリU-15,横須賀シーガルズMEG,1,2,ちふれ飯能グラウンド,played,2026-05-18T09:17:14+09:00,primary_match_page,https://u15.kantolsl.com/2025/div1/,
2025,1部,2025_D1_m12,m12,https://u15.kantolsl.com/2025/div1/m12,2025-04-19,19:15,第3節,INAC白岡SCレディース,VONDS市原FCレディ－スU-15,0,2,SFAフットボールセンタ,played,2026-05-18T09:17:14+09:00,primary_match_page,https://u15.kantolsl.com/2025/div1/,
2025,1部,2025_D1_m13,m13,https://u15.kantolsl.com/2025/div1/m13,2025-05-11,14:00,第4節,ジェフユナイテッド市原・千葉レディースU-15,ノジマステラ神奈川相模原アヴェニーレ,2,0,市原スポレクパーク,played,2026-05-18T09:17:15+09:00,primary_match_page,https://u15.kantolsl.com/2025/div1/,
2025,1部,2025_D1_m14,m14,https://u15.kantolsl.com/2025/div1/m14,2025-05-10,14:00,第4節,小美玉フットボールアカデミ,三菱重工浦和レッズレディースジュニアユース,0,6,タスパジャパンミート パーク,played,2026-05-18T09:17:15+09:00,primary_match_page,https://u15.kantolsl.com/2025/div1/,
2025,1部,2025_D1_m15,m15,https://u15.kantolsl.com/2025/div1/m15,2025-05-10,16:30,第4節,VONDS市原FCレディ－スU-15,ちふれASエルフェン埼玉マリU-15,0,0,VONDSグリーンパーク,played,2026-05-18T09:17:16+09:00,primary_match_page,https://u15.kantolsl.com/2025/div1/,
2025,1部,2025_D1_m16,m16,https://u15.kantolsl.com/2025/div1/m16,2025-05-10,10:10,第4節,横須賀シーガルズMEG,INAC白岡SCレディース,2,1,東戸塚フットボールパーク,played,2026-05-18T09:17:17+09:00,primary_match_page,https://u15.kantolsl.com/2025/div1/,
2025,1部,2025_D1_m17,m17,https://u15.kantolsl.com/2025/div1/m17,2025-05-17,14:00,第5節,ジェフユナイテッド市原・千葉レディースU-15,INAC白岡SCレディース,3,4,フクダ電子フィールド,played,2026-05-18T09:17:17+09:00,primary_match_page,https://u15.kantolsl.com/2025/div1/,
2025,1部,2025_D1_m18,m18,https://u15.kantolsl.com/2025/div1/m18,2025-05-17,16:00,第5節,三菱重工浦和レッズレディースジュニアユース,ちふれASエルフェン埼玉マリU-15,4,1,レッズランド,played,2026-05-18T09:17:18+09:00,primary_match_page,https://u15.kantolsl.com/2025/div1/,
2025,1部,2025_D1_m19,m19,https://u15.kantolsl.com/2025/div1/m19,2025-05-17,14:10,第5節,前半: -0 横須賀シーガルズMEG,ノジマステラ神奈川相模原アヴェニーレ,0,1,東戸塚フットボールパーク,played,2026-05-18T09:17:19+09:00,primary_match_page,https://u15.kantolsl.com/2025/div1/,
2025,1部,2025_D1_m20,m20,https://u15.kantolsl.com/2025/div1/m20,2025-05-17,14:00,第5節,小美玉フットボールアカデミ,VONDS市原FCレディ－スU-15,0,1,タスパジャパンミート パーク,played,2026-05-18T09:17:19+09:00,primary_match_page,https://u15.kantolsl.com/2025/div1/,
2025,1部,2025_D1_m21,m21,https://u15.kantolsl.com/2025/div1/m21,2025-06-01,13:00,第6節,ちふれASエルフェン埼玉マリU-15,ジェフユナイテッド市原・千葉レディースU-15,1,3,ちふれ飯能グラウンド,played,2026-05-18T09:17:20+09:00,primary_match_page,https://u15.kantolsl.com/2025/div1/,
2025,1部,2025_D1_m22,m22,https://u15.kantolsl.com/2025/div1/m22,2025-05-31,18:15,第6節,INAC白岡SCレディース,三菱重工浦和レッズレディースジュニアユース,1,3,SFAフットボールセンタ,played,2026-05-18T09:17:21+09:00,primary_match_page,https://u15.kantolsl.com/2025/div1/,
2025,1部,2025_D1_m23,m23,https://u15.kantolsl.com/2025/div1/m23,2025-05-31,17:00,第6節,VONDS市原FCレディ－スU-15,ノジマステラ神奈川相模原アヴェニーレ,1,3,VONDSグリーンパーク,played,2026-05-18T09:17:21+09:00,primary_match_page,https://u15.kantolsl.com/2025/div1/,
2025,1部,2025_D1_m24,m24,https://u15.kantolsl.com/2025/div1/m24,2025-05-31,14:00,第6節,小美玉フットボールアカデミ,横須賀シーガルズMEG,0,0,タスパジャパンミート パーク,played,2026-05-18T09:17:22+09:00,primary_match_page,https://u15.kantolsl.com/2025/div1/,
2025,1部,2025_D1_m25,m25,https://u15.kantolsl.com/2025/div1/m25,2025-06-08,17:30,第7節,ジェフユナイテッド市原・千葉レディースU-15,三菱重工浦和レッズレディースジュニアユース,1,0,八幡公園球技場,played,2026-05-18T09:17:23+09:00,primary_match_page,https://u15.kantolsl.com/2025/div1/,
2025,1部,2025_D1_m26,m26,https://u15.kantolsl.com/2025/div1/m26,2025-06-08,10:30,第7節,ちふれASエルフェン埼玉マリU-15,INAC白岡SCレディース,1,1,ちふれ飯能グラウンド,played,2026-05-18T09:17:23+09:00,primary_match_page,https://u15.kantolsl.com/2025/div1/,
2025,1部,2025_D1_m27,m27,https://u15.kantolsl.com/2025/div1/m27,2025-06-07,13:55,第7節,ノジマステラ神奈川相模原アヴェニーレ,小美玉フットボールアカデミ,2,0,ノジマフットボールパーク,played,2026-05-18T09:17:24+09:00,primary_match_page,https://u15.kantolsl.com/2025/div1/,
2025,1部,2025_D1_m28,m28,https://u15.kantolsl.com/2025/div1/m28,2025-06-07,15:10,第7節,横須賀シーガルズMEG,VONDS市原FCレディ－スU-15,0,0,横須賀リーフスタジアム,played,2026-05-18T09:17:24+09:00,primary_match_page,https://u15.kantolsl.com/2025/div1/,
2025,1部,2025_D1_m29,m29,https://u15.kantolsl.com/2025/div1/m29,2025-06-29,15:10,第8節,横須賀シーガルズMEG,ジェフユナイテッド市原・千葉レディースU-15,0,3,横須賀リーフスタジアム,played,2026-05-18T09:17:25+09:00,primary_match_page,https://u15.kantolsl.com/2025/div1/,
2025,1部,2025_D1_m30,m30,https://u15.kantolsl.com/2025/div1/m30,2025-06-28,17:30,第8節,VONDS市原FCレディ－スU-15,三菱重工浦和レッズレディースジュニアユース,1,2,VONDSグリーンパーク,played,2026-05-18T09:17:25+09:00,primary_match_page,https://u15.kantolsl.com/2025/div1/,
2025,1部,2025_D1_m31,m31,https://u15.kantolsl.com/2025/div1/m31,2025-06-29,16:30,第8節,小美玉フットボールアカデミ,ちふれASエルフェン埼玉マリU-15,3,1,タスパジャパンミート パーク,played,2026-05-18T09:17:26+09:00,primary_match_page,https://u15.kantolsl.com/2025/div1/,
2025,1部,2025_D1_m32,m32,https://u15.kantolsl.com/2025/div1/m32,2025-06-28,15:30,第8節,ノジマステラ神奈川相模原アヴェニーレ,INAC白岡SCレディース,2,0,ノジマフットボールパーク,played,2026-05-18T09:17:27+09:00,primary_match_page,https://u15.kantolsl.com/2025/div1/,
2025,1部,2025_D1_m33,m33,https://u15.kantolsl.com/2025/div1/m33,2025-09-07,10:00,第9節,ジェフユナイテッド市原・千葉レディースU-15,VONDS市原FCレディ－スU-15,0,3,東金アリーナ 陸上競技場,played,2026-05-18T09:17:27+09:00,primary_match_page,https://u15.kantolsl.com/2025/div1/,
2025,1部,2025_D1_m34,m34,https://u15.kantolsl.com/2025/div1/m34,2025-09-06,16:00,第9節,三菱重工浦和レッズレディースジュニアユース,横須賀シーガルズMEG,0,1,レッズランド,played,2026-05-18T09:17:28+09:00,primary_match_page,https://u15.kantolsl.com/2025/div1/,
2025,1部,2025_D1_m35,m35,https://u15.kantolsl.com/2025/div1/m35,2025-09-06,17:00,第9節,ちふれASエルフェン埼玉マリU-15,ノジマステラ神奈川相模原アヴェニーレ,0,1,ちふれ飯能グラウンド,played,2026-05-18T09:17:29+09:00,primary_match_page,https://u15.kantolsl.com/2025/div1/,
2025,1部,2025_D1_m36,m36,https://u15.kantolsl.com/2025/div1/m36,2025-09-07,18:15,第9節,INAC白岡SCレディース,小美玉フットボールアカデミ,2,0,SFAフットボールセンタ,played,2026-05-18T09:17:29+09:00,primary_match_page,https://u15.kantolsl.com/2025/div1/,
2025,1部,2025_D1_m37,m37,https://u15.kantolsl.com/2025/div1/m37,2025-09-14,16:00,第10節,小美玉フットボールアカデミ,ジェフユナイテッド市原・千葉レディースU-15,0,2,タスパジャパンミート パーク,played,2026-05-18T09:17:30+09:00,primary_match_page,https://u15.kantolsl.com/2025/div1/,
2025,1部,2025_D1_m38,m38,https://u15.kantolsl.com/2025/div1/m38,2025-09-14,16:00,第10節,ノジマステラ神奈川相模原アヴェニーレ,三菱重工浦和レッズレディースジュニアユース,1,2,ノジマフットボールパーク,played,2026-05-18T09:17:30+09:00,primary_match_page,https://u15.kantolsl.com/2025/div1/,
2025,1部,2025_D1_m39,m39,https://u15.kantolsl.com/2025/div1/m39,2025-09-15,15:10,第10節,横須賀シーガルズMEG,ちふれASエルフェン埼玉マリU-15,4,0,東戸塚フットボールパーク,played,2026-05-18T09:17:31+09:00,primary_match_page,https://u15.kantolsl.com/2025/div1/,
2025,1部,2025_D1_m40,m40,https://u15.kantolsl.com/2025/div1/m40,2025-09-15,17:00,第10節,VONDS市原FCレディ－スU-15,INAC白岡SCレディース,3,4,VONDSグリーンパーク,played,2026-05-18T09:17:31+09:00,primary_match_page,https://u15.kantolsl.com/2025/div1/,
2025,1部,2025_D1_m41,m41,https://u15.kantolsl.com/2025/div1/m41,2025-09-20,14:00,第11節,ノジマステラ神奈川相模原アヴェニーレ,ジェフユナイテッド市原・千葉レディースU-15,0,0,ノジマフットボールパーク,played,2026-05-18T09:17:32+09:00,primary_match_page,https://u15.kantolsl.com/2025/div1/,
2025,1部,2025_D1_m42,m42,https://u15.kantolsl.com/2025/div1/m42,2025-09-20,16:00,第11節,三菱重工浦和レッズレディースジュニアユース,小美玉フットボールアカデミ,4,1,レッズランド,played,2026-05-18T09:17:32+09:00,primary_match_page,https://u15.kantolsl.com/2025/div1/,
2025,1部,2025_D1_m43,m43,https://u15.kantolsl.com/2025/div1/m43,2025-09-23,16:00,第11節,ちふれASエルフェン埼玉マリU-15,VONDS市原FCレディ－スU-15,2,3,ちふれ飯能グラウンド,played,2026-05-18T09:17:33+09:00,primary_match_page,https://u15.kantolsl.com/2025/div1/,
2025,1部,2025_D1_m44,m44,https://u15.kantolsl.com/2025/div1/m44,2025-09-23,18:15,第11節,INAC白岡SCレディース,横須賀シーガルズMEG,2,1,SFAフットボールセンタ,played,2026-05-18T09:17:33+09:00,primary_match_page,https://u15.kantolsl.com/2025/div1/,
2025,1部,2025_D1_m45,m45,https://u15.kantolsl.com/2025/div1/m45,2025-10-05,17:30,第12節,INAC白岡SCレディース,ジェフユナイテッド市原・千葉レディースU-15,0,0,上谷総合公園サッカー場,played,2026-05-18T09:17:34+09:00,primary_match_page,https://u15.kantolsl.com/2025/div1/,
2025,1部,2025_D1_m46,m46,https://u15.kantolsl.com/2025/div1/m46,2025-10-05,16:30,第12節,ちふれASエルフェン埼玉マリU-15,三菱重工浦和レッズレディースジュニアユース,0,5,ちふれ飯能グラウンド,played,2026-05-18T09:17:34+09:00,primary_match_page,https://u15.kantolsl.com/2025/div1/,
